measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,High SDI,Male,<1 year,Years,2001,75.33796897855895,75.36145566957678,75.3133945756274
Life expectancy,High SDI,Female,<1 year,Years,2001,81.30167202959116,81.32281935747045,81.2793410208662
Life expectancy,Low-middle SDI,Male,<1 year,Years,2001,60.597797316436406,61.03529228643353,60.166742606192464
Life expectancy,Low-middle SDI,Female,<1 year,Years,2001,63.81588671061634,64.24645821869798,63.36826271809522
Life expectancy,Low SDI,Male,<1 year,Years,2001,57.048472950648794,57.46235818168608,56.63981529060178
Life expectancy,Low SDI,Female,<1 year,Years,2001,58.957462530078246,59.37319598138055,58.50920105815744
Life expectancy,High-middle SDI,Male,<1 year,Years,1996,66.62853937398963,66.82975460982696,66.42511601187061
Life expectancy,High-middle SDI,Female,<1 year,Years,1996,73.71009560683545,73.87320977232842,73.53297538016129
Life expectancy,High SDI,Male,<1 year,Years,1996,73.90536749884745,73.93283927024211,73.87748362039501
Life expectancy,High SDI,Female,<1 year,Years,1996,80.33791355233446,80.36050237935224,80.31303045913879
Life expectancy,Low-middle SDI,Male,<1 year,Years,1996,59.9491552803006,60.37626920338379,59.49983297588714
Life expectancy,Low-middle SDI,Female,<1 year,Years,1996,62.90833408415205,63.29719101067765,62.48229359506857
Life expectancy,Low SDI,Male,<1 year,Years,1996,55.00306071568642,55.491043575746716,54.49779684165263
Life expectancy,Low SDI,Female,<1 year,Years,1996,56.92727087595284,57.393397879212934,56.43546158733788
Life expectancy,Middle SDI,Male,<1 year,Years,2011,70.50967221792725,70.76018522755713,70.27147520589483
Life expectancy,Middle SDI,Female,<1 year,Years,2011,76.10700116833243,76.32356404072026,75.89504937812234
Life expectancy,High-middle SDI,Male,<1 year,Years,2009,71.17469865782925,71.34416043203056,71.0028403435939
Life expectancy,High-middle SDI,Female,<1 year,Years,2009,77.65329577664329,77.78111386262373,77.51119375468265
Life expectancy,High SDI,Male,<1 year,Years,2009,77.36402782964609,77.3872892314119,77.33874945029541
Life expectancy,High SDI,Female,<1 year,Years,2009,82.87706625916243,82.89762565669244,82.85482682363087
Life expectancy,Low-middle SDI,Male,<1 year,Years,2009,63.223642926809596,63.70533879387615,62.72662303502713
Life expectancy,Low-middle SDI,Female,<1 year,Years,2009,67.2158736337164,67.66400126642857,66.74910447035903
Life expectancy,Low SDI,Male,<1 year,Years,2009,60.711876997865154,61.14066459823852,60.24982443690761
Life expectancy,Low SDI,Female,<1 year,Years,2009,63.55680466670257,63.92723786284574,63.16434287157307
Life expectancy,Middle SDI,Male,<1 year,Years,2002,68.36392468733412,68.59952787529575,68.12880427503787
Life expectancy,Middle SDI,Female,<1 year,Years,2002,73.54907389795609,73.76345668045576,73.33585172204013
Life expectancy,Middle SDI,Male,<1 year,Years,2010,70.24835265532771,70.4835265353997,70.02176387672708
Life expectancy,Middle SDI,Female,<1 year,Years,2010,75.84811930187837,76.05430326888211,75.6391512845769
Life expectancy,High-middle SDI,Male,<1 year,Years,2012,72.18366991308538,72.39024055582085,71.96925698027009
Life expectancy,High-middle SDI,Female,<1 year,Years,2012,78.37422218647143,78.55062640093334,78.1907861524758
Life expectancy,High SDI,Male,<1 year,Years,2012,78.03226044615084,78.06602325707969,77.99772537513759
Life expectancy,High SDI,Female,<1 year,Years,2012,83.32934624330906,83.35524860137228,83.3023089302122
Life expectancy,Low-middle SDI,Male,<1 year,Years,2012,64.25084978944665,64.75337319267463,63.744462826336964
Life expectancy,Low-middle SDI,Female,<1 year,Years,2012,68.63355295582222,69.12463804056223,68.15588843633968
Life expectancy,Low SDI,Male,<1 year,Years,2012,62.12372728721593,62.61777603290614,61.62718323305937
Life expectancy,Low SDI,Female,<1 year,Years,2012,65.25143868591731,65.6712055077341,64.81363253314746
Life expectancy,High-middle SDI,Male,<1 year,Years,2013,72.51919224772635,72.75273027987149,72.27979811056237
Life expectancy,High-middle SDI,Female,<1 year,Years,2013,78.62393990855782,78.81572156560125,78.41589900947997
Life expectancy,High SDI,Male,<1 year,Years,2013,78.21230956515828,78.25056903677678,78.17411043331519
Life expectancy,High SDI,Female,<1 year,Years,2013,83.4568807307392,83.48852175618441,83.42785911352622
